season,week,team,games_played,epa_per_play,success_rate,explosive_rate,third_down_conv_rate,red_zone_td_rate,pass_rate,sack_rate,plays,pass_yards,rush_yards,turnovers,epa_total,allowed_epa_per_play,allowed_success_rate,pressure_sack_rate,takeaways,yards_per_play,passing_yards_per_attempt,rushing_yards_per_carry,total_players,qb_count,data_quality
2025,3,CAR,3,-0.07733633543172595,0.005319148936170213,0.14,0.4,0.8,0.6063829787234043,0.04201680672268908,188,603,272,4,-14.539231061164479,0.061869068345380765,0.9946808510638298,0.009523809523809523,5,4.654255319148936,5.2894736842105265,3.675675675675676,48,2,good
2025,3,TEN,3,-0.23217213315358298,0.005917159763313609,0.14,0.4,0.5555555555555556,0.5857988165680473,0.13157894736842105,169,506,266,2,-39.237090502955525,0.1857377065228664,0.9940828402366864,0.019047619047619046,3,4.568047337278107,5.111111111111111,3.8,47,1,good
2025,3,PHI,3,0.1168164323465821,0.016574585635359115,0.14,0.4,0.8,0.425414364640884,0.08333333333333333,181,479,378,0,21.14377425473136,-0.09345314587726568,0.9834254143646409,0.02857142857142857,4,4.734806629834254,6.220779220779221,3.6346153846153846,38,1,good
2025,3,TB,3,0.23750879412544393,0.021505376344086023,0.14,0.4,0.8,0.532258064516129,0.05714285714285714,186,615,392,0,44.17663570733257,-0.19000703530035515,0.978494623655914,0.05238095238095238,2,5.413978494623656,6.212121212121212,4.505747126436781,45,1,good
2025,3,ATL,3,-0.1450746945484409,0.00510204081632653,0.14,0.4,0.4444444444444444,0.5408163265306123,0.03636363636363636,196,634,419,4,-28.43464013149442,0.11605975563875273,0.9948979591836735,0.07619047619047618,3,5.372448979591836,5.981132075471698,4.655555555555556,43,2,good
2025,3,MIN,3,-0.15657579943074695,0.02127659574468085,0.14,0.4,0.8,0.46099290780141844,0.15584415584415584,141,503,367,5,-22.07718771973532,0.12526063954459757,0.9787234042553191,0.03809523809523809,8,6.170212765957447,7.7384615384615385,4.828947368421052,52,3,good
2025,3,DAL,3,0.1418980020663842,0.014925373134328358,0.14,0.4,0.8,0.6517412935323383,0.03676470588235294,201,841,375,7,28.521498415343224,-0.11351840165310736,0.9850746268656716,0.019047619047619046,1,6.0497512437810945,6.419847328244275,5.357142857142857,43,2,good
2025,3,GB,3,0.2612450686879584,0.024390243902439025,0.16,0.4,0.8,0.47560975609756095,0.08235294117647059,164,663,294,1,42.84419126482517,-0.20899605495036672,0.975609756097561,0.09523809523809525,2,5.835365853658536,8.5,3.4186046511627906,43,1,good
2025,48,BAL,48,0.5397856667758179,0.020833333333333332,0.16,0.4,0.15277777777777776,0.5208333333333334,0.13793103448275862,144,722,368,4,77.72913601571777,-0.4318285334206543,0.9791666666666666,0.0017857142857142857,3,7.569444444444445,9.626666666666667,5.333333333333333,42,2,good
2025,3,LAC,3,0.27421594955010004,0.0106951871657754,0.14,0.4,0.8,0.5775401069518716,0.0847457627118644,187,860,277,3,51.27838256586871,-0.21937275964008005,0.9893048128342246,0.04761904761904762,2,6.080213903743315,7.962962962962963,3.5063291139240507,44,1,good
2025,3,KC,3,0.14769622990202647,0.022727272727272728,0.14,0.4,0.8,0.5965909090909091,0.05405405405405406,176,669,324,2,25.994536462756656,-0.11815698392162118,0.9772727272727273,0.05714285714285714,2,5.642045454545454,6.371428571428571,4.563380281690141,42,1,good
2025,3,LV,3,0.05485492733783003,0.01694915254237288,0.14,0.4,0.8,0.5988700564971752,0.1016949152542373,177,831,217,4,9.709322138795915,-0.04388394187026403,0.9830508474576272,0.06666666666666667,3,5.9209039548022595,7.839622641509434,3.056338028169014,44,1,good
2025,3,CIN,3,-0.3276249476390837,0.01282051282051282,0.14,0.4,0.8,0.6089743589743589,0.09523809523809523,156,570,147,7,-51.109491831697056,0.26209995811126696,0.9871794871794872,0.05714285714285714,4,4.596153846153846,6.0,2.4098360655737703,46,3,good
2025,3,CHI,3,0.12990819945331633,0.028089887640449437,0.14,0.4,0.8,0.5393258426966292,0.058823529411764705,178,742,340,3,23.12365950269031,-0.10392655956265306,0.9719101123595506,0.04761904761904762,2,6.078651685393258,7.729166666666667,4.146341463414634,44,2,good
2025,3,NE,3,0.21970571800232808,0.01098901098901099,0.14,0.4,0.8,0.5824175824175825,0.1016949152542373,182,785,301,5,39.98644067642371,-0.17576457440186247,0.989010989010989,0.08571428571428572,4,5.967032967032967,7.40566037735849,3.960526315789474,44,1,good
2025,3,SEA,3,0.1360236028569324,0.030303030303030304,0.16,0.4,0.8,0.4666666666666667,0.0375,165,678,288,3,22.443894471393847,-0.10881888228554593,0.9696969696969697,0.05714285714285714,5,5.8545454545454545,8.805194805194805,3.272727272727273,43,3,good
2025,3,HOU,3,-0.10714566584017222,0.012987012987012988,0.14,0.4,0.5555555555555556,0.577922077922078,0.08247422680412371,154,599,285,3,-16.500432539386523,0.08571653267213779,0.987012987012987,0.08571428571428572,3,5.740259740259741,6.730337078651686,4.384615384615385,44,1,good
2025,3,DEN,3,0.03290387977910023,0.011764705882352941,0.14,0.4,0.8,0.5588235294117647,0.030612244897959183,170,535,387,3,5.59365956244704,-0.026323103823280188,0.9882352941176471,0.11428571428571428,5,5.423529411764706,5.631578947368421,5.16,43,1,good
2025,3,JAX,3,0.0375208061549475,0.02617801047120419,0.14,0.4,0.8,0.5916230366492147,0.02586206896551724,191,671,413,5,7.166473975594974,-0.030016644923958002,0.9738219895287958,0.05714285714285714,8,5.675392670157068,5.938053097345133,5.294871794871795,40,1,good
2025,3,IND,3,0.4443509562530056,0.026595744680851064,0.16,0.4,0.8,0.46808510638297873,0.022222222222222223,188,816,460,0,83.53797977556505,-0.3554807650024045,0.973404255319149,0.06666666666666667,5,6.787234042553192,9.272727272727273,4.6,44,2,good
2025,3,MIA,3,0.06425509490797078,0.026845637583892617,0.14,0.4,0.8,0.6510067114093959,0.0761904761904762,149,607,269,5,9.574009141287647,-0.05140407592637663,0.9731543624161074,0.02857142857142857,0,5.879194630872483,6.257731958762887,5.173076923076923,42,2,good
2025,3,DET,3,0.49915270906500103,0.02702702702702703,0.16,0.4,0.8,0.5135135135135135,0.04040404040404041,185,761,447,2,92.3432511770252,-0.39932216725200087,0.972972972972973,0.1,4,6.52972972972973,8.010526315789473,4.966666666666667,41,1,good
